clinic_id,clinic_name,tagline,description,address_line_1,address_line_2,city,state,zip,neighborhood,county,country,latitude,longitude,google_place_id,google_maps_url,directions_url,apple_maps_url,phone,email,website_url,booking_url,hours_json,service_type,accepts_insurance,payment_methods,amenities,logo_url,clinic_photo_urls,aggregate_rating,aggregate_rating_count,provider_ids,year_established,source_urls,last_scraped_date
clinic-ca-00001,Coastal Skin Studio West,West Hollywood injectable specialists.,"A West Hollywood practice focused on natural, conservative injectable results, with an emphasis on patient education before treatment.",1568 Cedar Drive,,Los Angeles,CA,90030,West Hollywood,Los Angeles County,US,34.046065,-118.235513,ChIJca8WIu33dGy6bhPAe8,https://maps.google.com/?cid=14037381,"https://www.google.com/maps/dir/?api=1&destination=34.046065,-118.235513","https://maps.apple.com/?ll=34.046065,-118.235513",+12135550174,hello@coastalskinstudiowest.example,https://coastalskinstudiowest.example,https://coastalskinstudiowest.example/book,"{""mon"":""9-18"",""tue"":""9-18"",""wed"":""9-18"",""thu"":""9-19"",""fri"":""9-17"",""sat"":""closed"",""sun"":""closed""}",In-Person,true,Visa; Care Credit,Wheelchair accessible; Private suites,https://picsum.photos/seed/clinic-ca-00001-logo/200/200,https://picsum.photos/seed/clinic-ca-00001-a/600/400; https://picsum.photos/seed/clinic-ca-00001-b/600/400,4.6,471,prov-ca-00001; prov-ca-00002; prov-ca-00003; prov-ca-00004,2018,https://injector.world/fake-dataset,2026-06-08
clinic-ca-00002,Harbor Skin Studio SoMa,SoMa injectable specialists.,"A SoMa practice focused on natural, conservative injectable results, with an emphasis on patient education before treatment.",8478 Park Drive,Suite 393,San Francisco,CA,94139,SoMa,San Francisco County,US,37.747247,-122.439595,ChIJcaDOw5WmZTB65aM9uV,https://maps.google.com/?cid=51116946,"https://www.google.com/maps/dir/?api=1&destination=37.747247,-122.439595","https://maps.apple.com/?ll=37.747247,-122.439595",+16195550146,hello@harborskinstudiosoma.example,https://harborskinstudiosoma.example,https://harborskinstudiosoma.example/book,,In-Person,false,Mastercard; Cherry; Visa; Care Credit,Virtual consults; Wheelchair accessible; Private suites; Wi-Fi,https://picsum.photos/seed/clinic-ca-00002-logo/200/200,https://picsum.photos/seed/clinic-ca-00002-a/600/400; https://picsum.photos/seed/clinic-ca-00002-b/600/400,4.5,247,prov-ca-00005,2011,https://injector.world/fake-dataset,2026-06-08
clinic-ca-00003,Park Avenue Injectables La,Gaslamp Quarter injectable specialists.,"A Gaslamp Quarter practice focused on natural, conservative injectable results, with an emphasis on patient education before treatment.",9185 Park Boulevard,,San Diego,CA,92125,Gaslamp Quarter,San Diego County,US,32.7035,-117.124461,ChIJcafekfRXd5wbSDaNFT,https://maps.google.com/?cid=61014968,"https://www.google.com/maps/dir/?api=1&destination=32.7035,-117.124461","https://maps.apple.com/?ll=32.7035,-117.124461",+16195550185,hello@parkavenueinjectablesla.example,https://parkavenueinjectablesla.example,,"{""mon"":""9-18"",""tue"":""9-18"",""wed"":""9-18"",""thu"":""9-19"",""fri"":""9-17"",""sat"":""closed"",""sun"":""closed""}",In-Person,true,Visa; Mastercard; Care Credit,Wheelchair accessible; Parking,https://picsum.photos/seed/clinic-ca-00003-logo/200/200,https://picsum.photos/seed/clinic-ca-00003-a/600/400; https://picsum.photos/seed/clinic-ca-00003-b/600/400,4.2,113,prov-ca-00006,2021,https://injector.world/fake-dataset,2026-06-08
clinic-ca-00004,Vista Skin & Laser Beverly,Brentwood injectable specialists.,"A Brentwood practice focused on natural, conservative injectable results, with an emphasis on patient education before treatment.",8026 Oak Boulevard,,Los Angeles,CA,90026,Brentwood,Los Angeles County,US,34.089842,-118.282,ChIJcaqmXRD2BryZSJzCER,https://maps.google.com/?cid=59220512,"https://www.google.com/maps/dir/?api=1&destination=34.089842,-118.282","https://maps.apple.com/?ll=34.089842,-118.282",+16195550131,hello@vistaskinlaserbeverly.example,https://vistaskinlaserbeverly.example,,,In-Person,false,Amex; Cherry; Visa,Wi-Fi; Wheelchair accessible,https://picsum.photos/seed/clinic-ca-00004-logo/200/200,https://picsum.photos/seed/clinic-ca-00004-a/600/400; https://picsum.photos/seed/clinic-ca-00004-b/600/400,4.9,386,prov-ca-00007; prov-ca-00008; prov-ca-00009; prov-ca-00010,2022,https://injector.world/fake-dataset,2026-06-08
clinic-ca-00005,Vista Aesthetic Medicine Pacific,SoMa injectable specialists.,"A SoMa practice focused on natural, conservative injectable results, with an emphasis on patient education before treatment.",8357 Cedar Street,Suite 166,San Francisco,CA,94109,SoMa,San Francisco County,US,37.803888,-122.45665,ChIJca8LUg3R-8JrtfxmaM,https://maps.google.com/?cid=90305908,"https://www.google.com/maps/dir/?api=1&destination=37.803888,-122.45665","https://maps.apple.com/?ll=37.803888,-122.45665",+12135550112,hello@vistaaestheticmedicinepacific.example,https://vistaaestheticmedicinepacific.example,https://vistaaestheticmedicinepacific.example/book,"{""mon"":""9-18"",""tue"":""9-18"",""wed"":""9-18"",""thu"":""9-19"",""fri"":""9-17"",""sat"":""closed"",""sun"":""closed""}",Both,false,Mastercard; Amex; Cherry,Wheelchair accessible; Wi-Fi; Private suites; Parking,https://picsum.photos/seed/clinic-ca-00005-logo/200/200,https://picsum.photos/seed/clinic-ca-00005-a/600/400; https://picsum.photos/seed/clinic-ca-00005-b/600/400,4.3,364,prov-ca-00011; prov-ca-00012,2004,https://injector.world/fake-dataset,2026-06-08
clinic-ca-00006,Cedar Cosmetic Clinic Hillcrest,Hillcrest injectable specialists.,"A Hillcrest practice focused on natural, conservative injectable results, with an emphasis on patient education before treatment.",5477 Main Street,Suite 243,San Diego,CA,92125,Hillcrest,San Diego County,US,32.727236,-117.130521,ChIJcaI5vx06PqsAuXg-hK,https://maps.google.com/?cid=68286093,"https://www.google.com/maps/dir/?api=1&destination=32.727236,-117.130521","https://maps.apple.com/?ll=32.727236,-117.130521",+16195550154,hello@cedarcosmeticclinichillcrest.example,https://cedarcosmeticclinichillcrest.example,,"{""mon"":""9-18"",""tue"":""9-18"",""wed"":""9-18"",""thu"":""9-19"",""fri"":""9-17"",""sat"":""closed"",""sun"":""closed""}",In-Person,false,Cherry; Amex,Private suites; Virtual consults; Parking; Wi-Fi,https://picsum.photos/seed/clinic-ca-00006-logo/200/200,https://picsum.photos/seed/clinic-ca-00006-a/600/400; https://picsum.photos/seed/clinic-ca-00006-b/600/400,4.7,412,prov-ca-00013,2008,https://injector.world/fake-dataset,2026-06-08
clinic-ca-00007,Summit Skin Studio West,Silver Lake injectable specialists.,"A Silver Lake practice focused on natural, conservative injectable results, with an emphasis on patient education before treatment.",9876 Harbor Drive,,Los Angeles,CA,90034,Silver Lake,Los Angeles County,US,34.084031,-118.204488,ChIJcanbDC08hqyNZkZEb6,https://maps.google.com/?cid=14787843,"https://www.google.com/maps/dir/?api=1&destination=34.084031,-118.204488","https://maps.apple.com/?ll=34.084031,-118.204488",+16195550196,hello@summitskinstudiowest.example,https://summitskinstudiowest.example,https://summitskinstudiowest.example/book,"{""mon"":""9-18"",""tue"":""9-18"",""wed"":""9-18"",""thu"":""9-19"",""fri"":""9-17"",""sat"":""closed"",""sun"":""closed""}",In-Person,false,Amex; Mastercard,Wheelchair accessible; Private suites; Parking; Virtual consults,https://picsum.photos/seed/clinic-ca-00007-logo/200/200,https://picsum.photos/seed/clinic-ca-00007-a/600/400; https://picsum.photos/seed/clinic-ca-00007-b/600/400,4.6,143,prov-ca-00014; prov-ca-00015,2005,https://injector.world/fake-dataset,2026-06-08
clinic-ca-00008,Lakeshore Dermatology SoMa,Hayes Valley injectable specialists.,"A Hayes Valley practice focused on natural, conservative injectable results, with an emphasis on patient education before treatment.",6243 Park Street,Suite 196,San Francisco,CA,94114,Hayes Valley,San Francisco County,US,37.749756,-122.379653,ChIJcaEEJtFeHL8m56K2x3,https://maps.google.com/?cid=15614960,"https://www.google.com/maps/dir/?api=1&destination=37.749756,-122.379653","https://maps.apple.com/?ll=37.749756,-122.379653",+14155550151,hello@lakeshoredermatologysoma.example,https://lakeshoredermatologysoma.example,https://lakeshoredermatologysoma.example/book,,In-Person,false,Visa; Care Credit; Amex; Cherry,Virtual consults; Parking; Wi-Fi; Wheelchair accessible,https://picsum.photos/seed/clinic-ca-00008-logo/200/200,https://picsum.photos/seed/clinic-ca-00008-a/600/400; https://picsum.photos/seed/clinic-ca-00008-b/600/400,4.9,231,prov-ca-00016; prov-ca-00017; prov-ca-00018,2008,https://injector.world/fake-dataset,2026-06-08
clinic-ca-00009,Park Avenue Skin & Laser Little,Hillcrest injectable specialists.,"A Hillcrest practice focused on natural, conservative injectable results, with an emphasis on patient education before treatment.",4128 Oak Street,,San Diego,CA,92123,Hillcrest,San Diego County,US,32.682882,-117.199967,ChIJcac2SV9wXcwGvRGJ7D,https://maps.google.com/?cid=72748301,"https://www.google.com/maps/dir/?api=1&destination=32.682882,-117.199967","https://maps.apple.com/?ll=32.682882,-117.199967",+12135550176,hello@parkavenueskinlaserlittle.example,https://parkavenueskinlaserlittle.example,,,Both,false,Visa; Mastercard; Cherry; Care Credit,Wheelchair accessible; Wi-Fi; Private suites,https://picsum.photos/seed/clinic-ca-00009-logo/200/200,https://picsum.photos/seed/clinic-ca-00009-a/600/400; https://picsum.photos/seed/clinic-ca-00009-b/600/400,4.4,189,prov-ca-00019; prov-ca-00020,2010,https://injector.world/fake-dataset,2026-06-08
clinic-ca-00010,Onyx Skin Studio West,West Hollywood injectable specialists.,"A West Hollywood practice focused on natural, conservative injectable results, with an emphasis on patient education before treatment.",9243 Cedar Street,,Los Angeles,CA,90027,West Hollywood,Los Angeles County,US,34.075324,-118.263908,ChIJca2SW0iLjnRDkMTZmc,https://maps.google.com/?cid=64596993,"https://www.google.com/maps/dir/?api=1&destination=34.075324,-118.263908","https://maps.apple.com/?ll=34.075324,-118.263908",+13105550173,hello@onyxskinstudiowest.example,https://onyxskinstudiowest.example,https://onyxskinstudiowest.example/book,"{""mon"":""9-18"",""tue"":""9-18"",""wed"":""9-18"",""thu"":""9-19"",""fri"":""9-17"",""sat"":""closed"",""sun"":""closed""}",In-Person,true,Visa; Care Credit; Mastercard,Wi-Fi; Wheelchair accessible; Virtual consults,https://picsum.photos/seed/clinic-ca-00010-logo/200/200,https://picsum.photos/seed/clinic-ca-00010-a/600/400; https://picsum.photos/seed/clinic-ca-00010-b/600/400,4.6,188,prov-ca-00021; prov-ca-00022; prov-ca-00023; prov-ca-00024,2012,https://injector.world/fake-dataset,2026-06-08
