review_id,provider_id,clinic_id,reviewer_first_name,reviewer_initial,reviewer_age_range,reviewer_city,rating,review_title,review_text,treatment_tag,review_date,source_platform,source_url,response_from_provider,response_date
rev-50000001,prov-ca-00001,clinic-ca-00001,Maya,A,55-59,Silver Lake,5,Best in the city,Took the time to map my face before any injection. Healed fast with barely any bruising.,Kybella,2026-02-08,clinic_site,https://healthgrades.example/r/1,,
rev-50000002,prov-ca-00001,clinic-ca-00001,Sofia,C,30-34,West Hollywood,5,Worth every penny,Honest about what would and would not help. I finally look as rested as I feel.,Sculptra,2025-12-27,vitals,https://google.example/r/2,"We appreciate the kind words, it was a pleasure caring for you.",2025-04-10
rev-50000003,prov-ca-00001,clinic-ca-00001,Olivia,S,55-59,Beverly Grove,5,No more downtime worries,Booked a consult first and felt zero pressure. Exactly the balanced look I wanted.,Sculptra,2024-08-17,healthgrades,https://yelp.example/r/3,,
rev-50000004,prov-ca-00001,clinic-ca-00001,Marcus,C,50-54,West Hollywood,5,Will be back,Took the time to map my face before any injection. Healed fast with barely any bruising.,Sculptra,2025-08-22,yelp,https://google.example/r/4,,
rev-50000005,prov-ca-00001,clinic-ca-00001,Lara,M,25-29,Brentwood,5,Best in the city,Took the time to map my face before any injection. The result is subtle and natural.,Microneedling,2026-03-17,yelp,https://zocdoc.example/r/5,,
rev-50000006,prov-ca-00001,clinic-ca-00001,Camila,N,50-54,Beverly Grove,5,No more downtime worries,Took the time to map my face before any injection. I finally look as rested as I feel.,Kybella,2026-03-31,google,https://clinic_site.example/r/6,,
rev-50000007,prov-ca-00001,clinic-ca-00001,Dahlia,R,45-49,Silver Lake,5,Conservative approach I trust,The whole team was warm and the office was spotless. The result is subtle and natural.,Sculptra,2026-03-07,clinic_site,https://google.example/r/7,"Thank you so much, see you at your next visit.",2025-12-13
rev-50000008,prov-ca-00001,clinic-ca-00001,Victor,A,55-59,Silver Lake,4,Clean and professional,Took the time to map my face before any injection. No one has guessed I had anything done.,Dysport,2025-02-01,vitals,https://vitals.example/r/8,,
rev-50000009,prov-ca-00001,clinic-ca-00001,Victor,F,55-59,West Hollywood,5,Subtle and balanced,Walked me through the plan and the pricing up front. Already booked my follow-up.,Kybella,2025-12-18,clinic_site,https://clinic_site.example/r/9,,
rev-50000010,prov-ca-00001,clinic-ca-00001,Selena,J,30-34,Beverly Grove,5,Worth every penny,The whole team was warm and the office was spotless. Already booked my follow-up.,Sculptra,2024-11-17,zocdoc,https://clinic_site.example/r/10,,
rev-50000011,prov-ca-00001,clinic-ca-00001,Selena,W,50-54,Beverly Grove,5,No more downtime worries,Explained every step and never upsold me. The result is subtle and natural.,Microneedling,2026-02-07,clinic_site,https://zocdoc.example/r/11,,
rev-50000012,prov-ca-00001,clinic-ca-00001,Tessa,G,50-54,Studio City,5,Will be back,Walked me through the plan and the pricing up front. Exactly the balanced look I wanted.,Dysport,2024-08-03,google,https://zocdoc.example/r/12,,
rev-50000013,prov-ca-00001,clinic-ca-00001,Priya,C,55-59,Silver Lake,4,Best in the city,The whole team was warm and the office was spotless. I finally look as rested as I feel.,Tear Trough,2025-11-18,clinic_site,https://healthgrades.example/r/13,,
