qa_id,question_title,question_text,answered_by_provider_id,answered_by_name,answer_text,treatment_tag,city_tag,source_platform,source_url,date
qa-00000001,Does Masseter Botox hurt?,A patient asks: does masseter botox hurt?,prov-fl-00136,,"Discomfort with Masseter Botox is generally mild. Numbing cream or ice is used for comfort, and most patients describe a quick pinch rather than real pain.",Masseter Botox,Miami,clinic_blog,https://injector.world/fake-dataset/qa/1,2025-12-09
qa-00000002,How long does Lip Filler last?,A patient asks: how long does lip filler last?,prov-tx-00071,,"For most patients Lip Filler results last several months, then gradually soften. Timing varies by dose, metabolism, and area treated. A maintenance plan keeps results consistent.",Lip Filler,Austin,directory,https://injector.world/fake-dataset/qa/2,2025-02-19
qa-00000003,Am I a good candidate for Masseter Botox?,A patient asks: am i a good candidate for masseter botox?,prov-fl-00130,,A good candidate for Masseter Botox is in good general health with realistic goals. A consultation reviews your history and anatomy before any treatment is recommended.,Masseter Botox,Miami,forum,https://injector.world/fake-dataset/qa/3,2025-11-02
qa-00000004,Does Botox hurt?,A patient asks: does botox hurt?,prov-ny-00093,,"Discomfort with Botox is generally mild. Numbing cream or ice is used for comfort, and most patients describe a quick pinch rather than real pain.",Botox,New York,directory,https://injector.world/fake-dataset/qa/4,2025-02-10
qa-00000005,Am I a good candidate for Botox?,A patient asks: am i a good candidate for botox?,prov-fl-00134,,A good candidate for Botox is in good general health with realistic goals. A consultation reviews your history and anatomy before any treatment is recommended.,Botox,Miami,forum,https://injector.world/fake-dataset/qa/5,2025-11-04
qa-00000006,Am I a good candidate for Thread Lift?,A patient asks: am i a good candidate for thread lift?,prov-fl-00135,,A good candidate for Thread Lift is in good general health with realistic goals. A consultation reviews your history and anatomy before any treatment is recommended.,Thread Lift,Miami,clinic_blog,https://injector.world/fake-dataset/qa/6,2025-02-05
qa-00000007,Is there downtime after Masseter Botox?,A patient asks: is there downtime after masseter botox?,,Dr. David Yu,Downtime for Masseter Botox is usually minimal. Mild redness or swelling can occur and typically settles within a day or two. Most people return to normal activities the same day.,Masseter Botox,Buffalo,directory,https://injector.world/fake-dataset/qa/7,2026-04-06
qa-00000008,Does Jawline Filler hurt?,A patient asks: does jawline filler hurt?,prov-ny-00090,,"Discomfort with Jawline Filler is generally mild. Numbing cream or ice is used for comfort, and most patients describe a quick pinch rather than real pain.",Jawline Filler,New York,clinic_blog,https://injector.world/fake-dataset/qa/8,2025-06-22
qa-00000009,Is there downtime after Daxxify?,A patient asks: is there downtime after daxxify?,,Dr. Hana Tran,Downtime for Daxxify is usually minimal. Mild redness or swelling can occur and typically settles within a day or two. Most people return to normal activities the same day.,Daxxify,Beverly Hills,directory,https://injector.world/fake-dataset/qa/9,2025-08-13
qa-00000010,Does Masseter Botox hurt?,A patient asks: does masseter botox hurt?,prov-ca-00035,,"Discomfort with Masseter Botox is generally mild. Numbing cream or ice is used for comfort, and most patients describe a quick pinch rather than real pain.",Masseter Botox,Los Angeles,clinic_blog,https://injector.world/fake-dataset/qa/10,2025-04-09
